Relative error for h_k for two procedures, as function of k and p				
p	5.000000e-01	5.000000e-01	9.500000e-01	9.500000e-01
Proc.	1	2	1	2
k				
1082	0.182	-0.005	-0.013	-0.034
1117	0.181	-0.006	-0.013	-0.034
1152	0.179	-0.006	-0.013	-0.034
1189	0.177	-0.007	-0.013	-0.034
1227	0.176	-0.008	-0.013	-0.034
1266	0.174	-0.009	-0.013	-0.034
1307	0.173	-0.009	-0.013	-0.034
1349	0.171	-0.010	-0.013	-0.034
1392	0.170	-0.010	-0.014	-0.034
1436	0.168	-0.011	-0.014	-0.034
1482	0.167	-0.012	-0.014	-0.034
1530	0.166	-0.012	-0.014	-0.035
1579	0.164	-0.013	-0.014	-0.035
1629	0.163	-0.014	-0.014	-0.035
1681	0.161	-0.014	-0.014	-0.035
1735	0.160	-0.015	-0.014	-0.035
1791	0.159	-0.015	-0.014	-0.035
1848	0.157	-0.016	-0.014	-0.035
1907	0.156	-0.016	-0.014	-0.035
1968	0.155	-0.017	-0.014	-0.035
2031	0.153	-0.017	-0.015	-0.035
2096	0.152	-0.018	-0.015	-0.035
2163	0.151	-0.018	-0.015	-0.035
2232	0.149	-0.019	-0.015	-0.035
2304	0.148	-0.019	-0.015	-0.035
2377	0.147	-0.020	-0.015	-0.035
2453	0.146	-0.020	-0.015	-0.035
2532	0.144	-0.021	-0.015	-0.035
2613	0.143	-0.021	-0.015	-0.035
2696	0.142	-0.022	-0.015	-0.035
2783	0.141	-0.022	-0.015	-0.035
2872	0.140	-0.022	-0.015	-0.035
2964	0.138	-0.023	-0.015	-0.035
3058	0.137	-0.023	-0.015	-0.034
3156	0.136	-0.024	-0.015	-0.034
3257	0.135	-0.024	-0.015	-0.034
3361	0.134	-0.024	-0.015	-0.034
3469	0.133	-0.025	-0.015	-0.034
3580	0.132	-0.025	-0.016	-0.034
3694	0.131	-0.025	-0.016	-0.034
3812	0.129	-0.026	-0.016	-0.034
3934	0.128	-0.026	-0.016	-0.034
4060	0.127	-0.026	-0.016	-0.034
4190	0.126	-0.027	-0.016	-0.034
4324	0.125	-0.027	-0.016	-0.034
4463	0.124	-0.027	-0.016	-0.034
4605	0.123	-0.027	-0.016	-0.034
4753	0.122	-0.028	-0.016	-0.034
4905	0.121	-0.028	-0.016	-0.034
5062	0.120	-0.028	-0.016	-0.034
5223	0.119	-0.029	-0.016	-0.033
5391	0.118	-0.029	-0.016	-0.033
5563	0.117	-0.029	-0.016	-0.033
5741	0.116	-0.029	-0.016	-0.033
5925	0.115	-0.030	-0.016	-0.033
6114	0.114	-0.030	-0.016	-0.033
6310	0.113	-0.030	-0.016	-0.033
6512	0.112	-0.030	-0.016	-0.033
6720	0.112	-0.030	-0.016	-0.033
6935	0.111	-0.031	-0.016	-0.033
7157	0.110	-0.031	-0.016	-0.033
7386	0.109	-0.031	-0.016	-0.033
7622	0.108	-0.031	-0.016	-0.032
7866	0.107	-0.031	-0.016	-0.032
8117	0.106	-0.032	-0.016	-0.032
8377	0.105	-0.032	-0.016	-0.032
8645	0.105	-0.032	-0.016	-0.032
8921	0.104	-0.032	-0.016	-0.032
9207	0.103	-0.032	-0.016	-0.032
9501	0.102	-0.032	-0.016	-0.032
